Itn	UB	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	LB	Gap
32	9.12289e+09	-1.35689e+07	-1.20474e+07	-8.78219e+06	-4.49327e+06	-9.27686e+06	-1.23997e+07	-9.75448e+06	-7.96132e+06	-1.11397e+07	-1.19399e+07	-6.94335e+06	-1.17049e+07	-1.24493e+07	-8.2558e+06	-8.18303e+06	-7.40747e+06	-6.82321e+06	-7.15867e+06	-9.74571e+06	-9.1454e+06	-7.77846e+06	-8.34515e+06	-7.19084e+06	-9.31059e+06	-1.98242e+07	-7.08415e+06	-6.56623e+06	-1.01226e+07	-8.14745e+06	-7.55139e+06	-8.0697e+06	8.83372e+09	0.0327349
33	9.11481e+09	-8.90515e+06	-8.30173e+06	-1.25379e+07	-5.62654e+06	-9.74263e+06	-9.49871e+06	-8.62504e+06	-9.49248e+06	-1.42103e+07	-1.21389e+07	-7.08777e+06	-1.38752e+07	-1.44275e+07	-8.11133e+06	-9.92741e+06	-5.51851e+06	-5.91157e+06	-4.17706e+06	-7.82599e+06	-8.4521e+06	-8.29029e+06	-7.64259e+06	-6.72947e+06	-1.07591e+07	-1.04048e+07	-8.82033e+06	-8.32534e+06	-8.93517e+06	-1.10666e+07	-8.1828e+06	-8.24629e+06	8.83372e+09	0.0318203
34	9.10488e+09	-7.15019e+06	-6.64638e+06	-1.21205e+07	-4.08371e+06	-1.12784e+07	-1.29036e+07	-8.86896e+06	-6.86155e+06	-1.51224e+07	-1.48075e+07	-7.90812e+06	-1.39025e+07	-1.33206e+07	-8.29855e+06	-1.07134e+07	-4.94582e+06	-3.60986e+06	-6.39304e+06	-7.83846e+06	-5.9441e+06	-8.41971e+06	-7.51802e+06	-8.7609e+06	-1.07702e+07	-1.15481e+07	-4.67235e+06	-5.75374e+06	-1.16608e+07	-1.38922e+07	-6.72929e+06	-7.95754e+06	8.83372e+09	0.0306967
35	9.0969e+09	-1.24899e+07	-7.83659e+06	-1.26899e+07	-5.98896e+06	-9.95992e+06	-1.59746e+07	-6.78732e+06	-6.03418e+06	-9.85181e+06	-1.54172e+07	-1.16465e+07	-1.15663e+07	-1.24216e+07	-1.02341e+07	-1.04474e+07	-3.75334e+06	-3.44472e+06	-5.68157e+06	-8.50247e+06	-1.03978e+07	-1.12273e+07	-5.1837e+06	-5.64087e+06	-9.24873e+06	-1.12977e+07	-5.22025e+06	-5.33737e+06	-1.09484e+07	-7.85646e+06	-6.59204e+06	-6.74112e+06	8.83372e+09	0.0297925
36	9.09281e+09	-4.91247e+06	-6.08632e+06	-9.8479e+06	-4.10425e+06	-8.66311e+06	-1.3533e+07	-7.6209e+06	-5.25501e+06	-9.65617e+06	-1.73241e+07	-7.46473e+06	-1.05621e+07	-9.32259e+06	-6.8185e+06	-8.4018e+06	-2.807e+06	-6.48233e+06	-4.69339e+06	-5.43626e+06	-9.139e+06	-8.77927e+06	-6.3053e+06	-8.90435e+06	-9.69153e+06	-1.29939e+07	-3.92607e+06	-5.56977e+06	-1.32539e+07	-6.29533e+06	-5.74451e+06	-6.25945e+06	8.84695e+09	0.0277897
37	9.08879e+09	-5.44364e+06	-6.51208e+06	-1.31707e+07	-5.3277e+06	-7.84227e+06	-9.04033e+06	-9.59576e+06	-3.77903e+06	-8.62264e+06	-1.39729e+07	-8.33104e+06	-1.01633e+07	-9.98817e+06	-7.03601e+06	-1.10909e+07	-4.40817e+06	-3.90862e+06	-4.25562e+06	-4.2112e+06	-4.82645e+06	-7.42056e+06	-6.06019e+06	-6.61286e+06	-6.36646e+06	-1.05088e+07	-3.84673e+06	-6.85024e+06	-7.0224e+06	-5.84263e+06	-5.9158e+06	-6.38909e+06	8.86442e+09	0.0253104
38	9.08492e+09	-7.4128e+06	-3.66696e+06	-1.27277e+07	-3.15117e+06	-8.58203e+06	-7.43146e+06	-9.46834e+06	-4.05193e+06	-7.14577e+06	-9.81097e+06	-5.71139e+06	-1.48462e+07	-1.21277e+07	-5.38422e+06	-9.87696e+06	-2.61923e+06	-4.21136e+06	-3.88794e+06	-6.96088e+06	-5.46356e+06	-7.98923e+06	-4.73035e+06	-7.93099e+06	-7.20501e+06	-8.44902e+06	-3.08323e+06	-4.99294e+06	-9.21018e+06	-6.4894e+06	-5.21455e+06	-4.46919e+06	8.87061e+09	0.0241587
39	9.08126e+09	-1.17503e+07	-5.96298e+06	-1.14874e+07	-4.30929e+06	-9.21433e+06	-8.40961e+06	-6.24813e+06	-3.32034e+06	-8.45494e+06	-1.04848e+07	-6.59793e+06	-9.76457e+06	-1.04731e+07	-4.42944e+06	-1.05402e+07	-2.77488e+06	-2.95679e+06	-2.91553e+06	-5.34086e+06	-4.79238e+06	-7.82708e+06	-6.5045e+06	-5.84413e+06	-7.94693e+06	-8.93382e+06	-2.73722e+06	-4.97701e+06	-7.41578e+06	-5.82994e+06	-7.40872e+06	-5.54312e+06	8.87061e+09	0.023746
40	9.0766e+09	-1.06067e+07	-6.94517e+06	-9.56185e+06	-3.45984e+06	-9.93813e+06	-6.32203e+06	-5.36297e+06	-3.58342e+06	-8.41199e+06	-1.04732e+07	-6.23711e+06	-1.26841e+07	-1.07781e+07	-5.06088e+06	-1.16798e+07	-2.64274e+06	-3.01801e+06	-3.62596e+06	-6.03081e+06	-3.90241e+06	-7.30828e+06	-3.45545e+06	-5.93959e+06	-6.22909e+06	-9.90008e+06	-2.35438e+06	-4.86594e+06	-5.94369e+06	-7.98702e+06	-5.07252e+06	-6.26222e+06	8.87095e+09	0.0231817
41	9.0709e+09	-1.11963e+07	-3.24773e+06	-1.27134e+07	-3.49106e+06	-6.92745e+06	-5.88992e+06	-9.03372e+06	-2.70291e+06	-5.67101e+06	-9.00016e+06	-6.92522e+06	-1.16769e+07	-1.05916e+07	-5.15931e+06	-7.32823e+06	-3.18273e+06	-2.98003e+06	-4.41508e+06	-5.16312e+06	-3.80222e+06	-8.44707e+06	-3.32979e+06	-7.44207e+06	-5.17211e+06	-7.81451e+06	-1.767e+06	-6.738e+06	-5.88665e+06	-7.77632e+06	-8.59159e+06	-7.61142e+06	8.87095e+09	0.0225391
